,link,title,year,synopsis
192,/wiki/Criminal_Minds_(South_Korean_TV_series),Criminal Minds (South Korean TV series),2017,"The drama follows a group of highly trained profilers in the fictional National Criminal Investigation (NCI) team who track down criminals to solve cases. It begins a year after a crucial error results in a bomb detonating at a hospital, killing several SWAT officers and leaving the NCI team leader Kang Ki-hyung's confidence badly shaken. He returns to work after a long break and is immediately drawn into a serial murder case which requires the NCI team to collaborate with the local police agency's Violent Crimes Unit. They meet the temperamental police officer Kim Hyun-joon, who appears to have a bitter grudge against Ki-hyung.
"
193,/wiki/Cross_(TV_series),Cross (TV series),2018,"A gifted young man learns medicine out of a desire to avenge his father who was brutally murdered fifteen years ago.
"
194,/wiki/Cruel_Love,Cruel Love,2007–08,"Na In-jung struggles with her love between the rather cold and rebellious Yong-ki and a successful businessman, Soo-hwan. Kang Yong-ki is a pop culture artist. He was separated from his first love, Jo Ann, and still carries the wound that he suffered from their relationship. His half sister is Joo-ran who is married to Soo-hwan. Soo-hwan begins an affair with In-jung but he only has ambition for the CEO position of Yong-ki's father's company. Soon after he discovers that his ambition does not fill the emptiness that he has inside and realizes he needs In-jung. But In-jung and Yong-ki have already fallen in love with each other. Will In-jung go back to her first love or stay with Yong-ki?
"
195,/wiki/Cunning_Single_Lady,Cunning Single Lady,2014,"Na Ae-ra grew up believing she was born to be only pretty and not smart. While working at her family's restaurant, she falls in love with Cha Jung-woo, a geeky engineering graduate student studying to enter civil service. Na Ae-ra wants to become a housewife, and after Jung-woo promises that she will be, they get married. During their 100th day wedding celebration, Jung-woo announces that he has quit his job because he has an idea for a business. Jung-woo's businesses keep failing and Ae-ra struggles to keep them afloat by working multiple jobs. After secretly suffering a miscarriage from the stress of being the sole breadwinner and living in poverty, Ae-ra divorces Jung-woo after four years of marriage. Three years after the divorce, Ae-ra discovers that Jung-woo has become fabulously successful and wealthy, while she is still paying debts that accrued during their marriage. The fun begins when Ae-ra schemes for revenge, with Jung-woo believing that Ae-ra wants him back because he has become wealthy.
"
196,/wiki/D.P._(TV_series),D.P. (TV series),2021,"D.P., which stands for Deserter Pursuit, tells the story of a team of soldiers whose mission is to catch deserters.
"
197,/wiki/D-Day_(TV_series),D-Day (TV series),2015,"Lee Hae-sung (Kim Young-kwang) is a surgeon who is transferred from one of the best hospitals in Seoul to a rundown hospital with no ER. After disobeying his previous hospital director, Park Gun (Lee Geung-young), he then meets Jung Ddol-mi (Jung So-min), an orthopedic resident from Busan who came to Seoul to transfer a patient. Ddol-mi tries to meet professor Han Woo-jin (Ha Seok-jin), a cold robotics surgeon who works in Hae-seong's old hospital who saved her life when she was younger before going back to Busan. However, she is stuck in Seoul after trying to save a patient. Meanwhile, a sinkhole appears in Seoul followed by a big earthquake that blocks all access to the city, causing phones, electricity, and water to not function. Hae-seong teams up with Ddol-mi to treat people, but soon medicine starts to run out.
"
198,/wiki/Dae_Jang_Geum,Dae Jang Geum,2003–04,"The story is set in Korea during the reigns of King Seongjong (1457–1494), King Yeonsan (1494–1506) and King Jungjong (1506–1544). The epilogue also spans through the reigns of King Injong (1544-1545) and King Myeongjong (1545-1567), with the last scene from March, 1550.
"
199,/wiki/Dae_Jang_Geum_Is_Watching,Dae Jang Geum Is Watching,2018–19,"The series follows the hectic lives, romantic relationships and love for food of three siblings—Han San-hae, Han Jin-mi and Han Jeong-sik.
"
200,/wiki/Dae_Jo_Yeong_(TV_series),Dae Jo Yeong (TV series),2006–07,
201,/wiki/Dal-ja%27s_Spring,Dal-ja's Spring,2007,"Oh Dal-ja is a managing director at a home shopping network. 33 years old and single, marriage is heavy on her mind, mostly due to societal and familial pressure. Although she has everything - a successful career, supportive friends, a loving family - she still dreams of the perfect romance and marriage. She falls for her flirty colleague Shin Se-do, but after he dumps her for Wee Seon-joo, the stylish host of the home shopping TV show, Dal-ja decides to seek revenge. Enter Kang Tae-bong, a guy 6 years younger with a mysterious past. For ₩3 million (approximately US$3,200), Tae-bong signs a dating contract with Dal-ja to pretend to be her boyfriend for three months. But then Dal-ja meets Uhm Ki-joong, seemingly the perfect man: rich, good-looking, intelligent, and courteous, but recently separated from his wife. For the first time in her life, Dal-ja finds herself in a love triangle.
"
202,/wiki/Damo_(TV_series),Damo (TV series),2003,"Chae-ok is the daughter  of a nobleman, who was framed for conspiracy and thereafter committed suicide. She got separated from her brother at the age of 7 when she was caught by the officer who then took her to be the slave of Hwangbo Yoon's family. Alongside him, she was raised in the mountains and learned martial arts and sword fighting. She has loved Yoon silently for years, knowing they cannot be together because he belongs to a higher social class. Instead when he becomes a police commander, she joins his bureau as a <a href=""/wiki/Damo_(Korea)"" title=""Damo (Korea)"">damo</a> to continue being near him and working with him.
"
203,/wiki/Dandelion_Family,Dandelion Family,2010,"Dandelion Family covers the lives of three sisters.
"
204,/wiki/Dangerous_Woman_(South_Korean_TV_series),Dangerous Woman (South Korean TV series),2011–12,"When everything you believed in for your entire life turns out to be a devastating lie, then will you direct your anger at the person who caused it all or forgive that person? This drama tells a story about people who are hell-bent on recovering what they think is rightfully theirs while on the opposite side, there are people who will fight to protect what belongs to them. In the beginning, the two sides hate each other's guts. They do despicable things that will make it impossible to ever make things right again. But there is still a sliver of hope. The pent-up anger within themselves softens and they begin a path of rehabilitation and redemption that will allow them to forgive their enemies and bury the hatchet. This drama is not a story about revenge and anguish but a story of rehabilitation and harmony. Viewers will empathize with their agony and pain while also rejoicing at their happiness. The takeaway from it all is that love is a powerful force that can conquer all.
"
205,/wiki/Daring_Women,Daring Women,2010,"Ji Soon-young loses her husband, Wang Se-joon, in a tragic accident. She is left alone to take care of their adopted daughter. She meets and falls in love with Han Kyu-jin, who happens to be the father-in-law of her friend and former sister-in-law, Wang Se-bin. Their lives change when Soon-young marries Kyu-jin and becomes Se-bin's mother-in-law. They have to adjust to their new roles in the family and try to get along with each other.
"
206,/wiki/Dating_Agency:_Cyrano,Dating Agency: Cyrano,2013,"This drama is about a dating agency that orchestrates romantic scenarios for paying clients, all in an effort to raise enough money to save an old theater. After Seo Byung-hoon (Lee Jong-hyuk) loses his best friend in an accident, the once-renowned theater director suffers from guilt and decides to save his late friend's theater troupe. Using his masterful stage skills, he forms the Cyrano Dating Agency.
"
207,/wiki/Daughters-in-Law_(TV_series),Daughters-in-Law (TV series),2007–08,
208,/wiki/Dear_Archimedes,Dear Archimedes,2019,"The story of a genius logician, Yan Su (Oh Se-hun), who lives in a mysterious castle, isolated from the outside world. He works to solve inscrutable and complicated cases. One day, Zhen Ai (Xu Ling Yue), a clever biologist, walks into his castle to help him in solving a cryptic code.
"
209,/wiki/Dear_Heaven,Dear Heaven,2005–06,"When she was very young, Ji Young-sun (Han Hye-sook) gave away her baby Lee Ja-kyung after giving birth to her. She later remarries and creates a new family, but soon after, her husband dies, leaving her behind with her stepson Gu Wang-mo (Lee Tae-gon), and her daughter Gu Seul-ah (Lee Soo-kyung).
"
210,/wiki/Dear_My_Friends,Dear My Friends,2016,"The stories between friends in their last years of life, people who say some words like ""It is not the end, we're still alive"".
"
211,/wiki/Dear._M,Dear. M,2021,"Things are turned upside down in the search for ""M"" when an anonymous confession is published on Seoyeon University's student forum. Coming from different departments of the university, the four students - Ma Joo-ah (Park Hye-su), Cha Min-ho (Jeong Jae-hyun), Seo Ji-min (Roh Jeong-eui), and Park Ha-neul (Bae Hyun-sung) are in search for “M”. They go through university-life, changing friendships, and realistic budding romances in the course of their search. 
"
212,/wiki/Deep_Rooted_Tree,Deep Rooted Tree,2011,"Early in his reign, King Sejong inevitably causes the death of his in-laws and their slaves in an attempt to save them from his brutal father, King Taejong, mainly due to his lack of authority and power. Two young slaves, Ddol-bok and his friend Dam, survive but neither knows if the other has.  Ddol-bok blames the king and vows to kill him to avenge the deaths of everyone he loved and spends years becoming a great warrior.  Dam, who has a photographic memory, becomes a court lady called So-yi (Shin Se-kyung), but she feels so guilty about her role in the other slaves' deaths that she becomes mute.
"
213,/wiki/Definitely_Neighbors,Definitely Neighbors,2010,"A divorced couple become next-door neighbors.
"
214,/wiki/Delayed_Justice,Delayed Justice,2020–21,"A high school graduate yet full of zest and keen sense of justice managed to pass the bar examination to be a qualified barrister-at-law against miscarriage of justice, an atypical but empathetic senior reporter and his passionate junior reporter, teamed up to defend and fight for judicial victims who are falsely accused, wrongfully convicted or malicious prosecution.
"
215,/wiki/Delicious_Proposal,Delicious Proposal,2001,"The drama is about two families that operate rival Chinese food restaurants, and the love stories of twenty-something high school graduates on their paths to becoming first-class chefs.
"
216,/wiki/Descendants_of_the_Sun,Descendants of the Sun,2016,"Yoo Si-jin (Song Joong-ki) is the captain of a South Korean Special Forces unit. He and his friend Master Sergeant Seo Dae-young (Jin Goo) are off-duty when they witness a young man stealing a motorcycle and apprehend him. The thief, Kim Gi-bum (Kim Min-seok), is injured during the chase and therefore sent to the hospital. Dae-young realizes his cell phone was stolen by the thief and goes to the hospital along with Si-jin to retrieve it.
"
217,/wiki/Designated_Survivor:_60_Days,Designated Survivor: 60 Days,2019,"Park Mu-jin (Ji Jin-hee) is the South Korean Minister of Environment, with little ambition as a politician. After a diplomatic incident involving free trade negotiations with the United States, and Park's dispute over numbers provided by its Environmental Protection Agency about pollution caused by imported cars, President Yang Jin-ma (Kim Kap-soo) dismisses him from the office.
"
218,/wiki/Detectives_in_Trouble,Detectives in Trouble,2011,"Based on real-life cases, this Korean drama focuses on a group of detectives in the Seoul Gangnam Police Homicide Division who solve crimes with their variety of skills and investigative methods. At the forefront of the team is the hotheaded detective Park Se-hyuk and the cold, commanding police chief, Jung Il-do. Se-hyuk's impulsive, act-first-think-later methods, instincts honed on the streets, and pesky habit of threatening resignation clashes with his superior Il-do's strict, by-the-book style. The two also share a painful past, with Il-do being the detective on the case involving the death of Se-hyuk's daughter. Along with tenacious reporter Jo Min-joo and the rest of the homicide squad, they must now overcome their differences to solve crimes together.
"
219,/wiki/Devil_Judge,Devil Judge,2021,"Kang Yo-han is a head trial judge who punishes the dishonest in the courtroom with no mercy, turning it into a reality show, and thus has earned the nickname ""devil judge""; however, his mysterious aura conceals his true identity and ambitions.
"
220,/wiki/Devilish_Charm,Devilish Charm,2018,"The strange but beautiful love story of a genius doctor who suffers from ""Cinderella Memory Disorder"" in which the memories of the previous day disappear at twelve o'clock and a washed-up actress.
"
221,/wiki/Diary_of_a_Night_Watchman,Diary of a Night Watchman,2014,"Prince Rin found himself orphan when his father the king, under a spell, killed the queen and then committed suicide. Considered unsuitable for the throne, the child prince was sent away from the palace and his older half-brother Gi-san, son of a concubine, was crowned the new king of Joseon.
"
222,/wiki/Diary_of_a_Prosecutor,Diary of a Prosecutor,2019–20,"The stories of overworked prosecutors' daily lives in the fictional city of Jinyoung.
"
223,/wiki/Did_We_Really_Love%3F,Did We Really Love?,1999,"Jae-ho and his sister Jae-young were abandoned by their mother to escape poverty. Because of this, Jae-ho doesn't understand what love is. And so, he has a dream of becoming rich, thinking that there is no such thing as love, only money. He works hard his whole life while supporting himself and his sister through college. He works at a seafood wholesale market selling crabs to vendors. He lives with his aunt who has taken him and his sister in after their mother abandoned them.
"
224,/wiki/Different_Dreams,Different Dreams,2019,"The story takes place in Kyungsung (South Korea) and Shanghai (China) during the Japanese colonial rule of Korea. Lee Young-jin is a Korean surgeon who was raised by a Japanese family. She becomes a spy for the Korean government.
"
225,/wiki/Dinner_Mate,Dinner Mate,2020,"Woo Do-hee (Seo Ji-hye), a producer at a digital content company, and Kim Hae-kyung (Song Seung-heon), a psychiatrist, meet by coincidence and end up eating dinner together. Later, they meet again by coincidence and decided to become ""dinner mates"" —  without knowledge of each other's personal details (name, occupation, etc), they only meet up to eat dinner and talk.
"
226,/wiki/Discovery_of_Love,Discovery of Love,2014,"Han Yeo-reum (Jung Yu-mi) is a furniture designer who owns a workshop space that she shares with other designers. For the past year, she's been dating Nam Ha-jin (Sung Joon), a plastic surgeon with a sweet and gentle personality. But Yeo-reum's peaceful existence is shaken when her ex-boyfriend Kang Tae-ha (Eric Mun) suddenly reappears in her life. The CEO of an interior design company, Tae-ha is a smart, confident man with a strong competitive edge who always gets what he wants. Meanwhile, Ha-jin comes across Ahn Ah-rim (Yoon Jin-yi), whom he recognizes as the girl he treated like a sister when they were both children living in an orphanage. As she begins working with Tae-ha, Yeo-reum is forced to re-evaluate her romantic history, which sets her off on a search for true love.
"
227,/wiki/Distorted_(TV_series),Distorted (TV series),2017,"A story about reporters who struggle to get to the bottom of the truth of social corruption.
"
228,/wiki/Divorce_Lawyer_in_Love,Divorce Lawyer in Love,2015,"Go Cheok-hee and So Jung-woo once worked together at a law firm; she was a well known divorce lawyer, and he was her office manager. She treated him like her inferior, while he constantly irked her by pointing out her mistakes and calling her ""Chucky"" behind her back. But Cheok-hee is so ambitious, so determined to win every case for her clients but her unethical misdeeds catch up to her which causing her license to be suspended.
"
229,/wiki/Do_Do_Sol_Sol_La_La_Sol,Do Do Sol Sol La La Sol,2020,"A romantic-comedy about an energetic, down-on-her-luck-riches-to-rags-(to-riches?) pianist named Goo Ra-ra and a mysterious, warm-hearted multi part-time worker Sunwoo Joon and those who gather in La La Land, a small piano institute in a South Korea countryside with their own secrets, pain and stories to tell.
"
230,/wiki/Do_You_Like_Brahms%3F,Do You Like Brahms?,2020,"A drama about the dreams and love of classical music students who find their own happiness while learning music.
"
231,/wiki/Doctor_Detective,Doctor Detective,2019,"The story of doctors who try to uncover the truth behind industrial accidents. It also factors in real life occupational hazard events that happened to real South Korean citizens by tailoring the drama to the real life event.
"
232,/wiki/Doctor_Doctor_(South_Korean_TV_series),Doctor Doctor (South Korean TV series),2000,"The sitcom showed several gags among the staff.  Once, Dr. Ahn had encountered an old patient who had received a bad treatment from Dr. Ahn and thought that she could receive free treatment. Dr. Ahn, being too ashamed to correct her that treatment is not free, agreed to give her a free treatment. The news spread around, and another man who came for ""free treatment"" was overjoyed and shooked a bewildered Dr. Ahn's hand. He later received a visitor, dressed in black from head-to-toe, praised his kindness for giving free treatment to patients, and asked if he wished to hold a merger between the two hospitals. During this time, the visitor received multiple calls from several handphones in one go during the visit, spoke in Japanese, German and English to the respective phone calls.
"
233,/wiki/Doctor_John_(TV_series),Doctor John (TV series),2019,"Cha Yo-han (Ji Sung) is a doctor of anesthesiology. He is arrogant, but he is a genius at his work. Kang Si-young (Lee Se-young) is a resident of anesthesiology who works with Cha Yo-Han. She is smart, warm and listens carefully to her patients. People, with mysterious acute or chronic pain come to the hospital. There, Cha Yo-han and Kang Shi-young try to find the causes of their pain.
"
234,/wiki/Doctor_Prisoner,Doctor Prisoner,2019,"A skilled doctor is forced to quit working at a hospital after being accused of medical malpractice. He starts working in a prison with the goal of acquiring enough connections to take his revenge.
"
235,/wiki/Doctor_Stranger,Doctor Stranger,2014,"As a child, Park Hoon (Lee Jong-suk) and his father Park Cheol (Kim Sang-joong) were tricked and sent to North Korea. After being sent to North Korea, Park Hoon and his father were denied access to go back to South Korea. In North Korea, Park Hoon was trained to become a doctor by his father who was already a famous doctor. He became a genius cardiothoracic surgeon after attending medical school in North Korea. There, he fell deeply in love with Song Jae-hee (Jin Se-yeon). After Park Hoon's father died, he tried to flee to South Korea with Jae-hee, but lost contact with her in the end. Park Hoon was able to flee to South Korea alone.
"
236,/wiki/Dong_Yi_(TV_series),Dong Yi (TV series),2010,"Set during the reign of King Sukjong in the Joseon dynasty, the series is based on real-life historical figure Choi Suk-bin.
"
237,/wiki/Don%27t_Cry_My_Love_(TV_series),Don't Cry My Love (TV series),2008–09,
238,/wiki/Don%27t_Dare_to_Dream,Don't Dare to Dream,2016,"Weather caster, Pyo Na-ri (Gong Hyo-jin), and news anchor, Lee Hwa-shin (Jo Jung-suk), are long-time colleagues at SBC broadcasting station. Na-ri has had a crush on Hwa-shin three years ago but things change when she meets the perfect man Go Jung-won (Go Kyung-pyo), a chaebol heir and close friend of Hwa-shin.
"
239,/wiki/Don%27t_Hesitate,Don't Hesitate,2009–10,"Jang Soo-hyun was a woman who'd previously devoted her life to love, even donating her liver to save her first love, but was rewarded by betrayal. Since then, she has become jaded and resolved to distance herself from relationships. Until she meets Han Tae-woo, a man who has never known or believed in love. Tae-woo had built a wall around his heart in fear of being hurt again, but Soo-hyun becomes someone whom he learns to sacrifice everything for.
"
240,/wiki/Don%27t_Look_Back:_The_Legend_of_Orpheus,Don't Look Back: The Legend of Orpheus,2013,"Han Yi-soo (Kim Nam-gil) loses his father and narrowly escapes death because of the owners of Gaya Hotel Group, the family of Jo Hae-woo (Son Ye-jin), his first love. A wealthy and influential Japanese businessman adopts him, and 12 years later he returns to Korea with a new identity as Japanese-Korean businessman Yoshimura Jun and carefully laid plans. Hae-woo, who believed that Yi-soo was dead, becomes a prosecutor to find out the truth about what happened to him. The two become caught between love and revenge.
"
241,/wiki/Drama_City,Drama City,1984–2008,
242,/wiki/Drama_City:_What_Should_I_Do%3F,Drama City: What Should I Do?,2004,"A rampant boy, whose mother is very ill, has problems coping with his ill mom and doesn't get along with his dad. After one of his arguments with his dad, he runs out of the house to let off steam by playing with his roller blades. Somehow he traveled through time he meets his parents prior to their dating.
"
243,/wiki/Drama_Special_Series,Drama Special Series,2010–13,
244,/wiki/Just_an_Ordinary_Love_Story,Just an Ordinary Love Story,2012,"Han Jae-kwang (Yeon Woo-jin) returns to Jeonju where his older brother was murdered seven years ago. On the pretext of a job assignment, he approaches Kim Yoon-hye (Yoo Da-in) for a site tour. Although he knows she is the daughter of the murderer who killed his brother, he could not hate her. Jae-kwang felt her pain when Yoon-hye first realized her father is the murderer. Now, 7 years later, he sees that she still carry the same pain with her. Yoon-hye believes her father is not the murderer while Jae-kwang thinks someone else could have killed his brother. Together, they investigate the case and become close to each other. Will they find the real culprit? Will the barrier between them be removed?
"
245,/wiki/Puberty_Medley,Puberty Medley,2013,"Choi Jung-woo (Baek Sung-hyun) is a part-timer village high school teacher who is still waiting for the results of the licensure examination for teachers. With his fate in the licensure still undetermined, he works for the meantime in his alma mater, the Namil High School.
"
246,"/wiki/Rock,_Rock,_Rock_(TV_series)","Rock, Rock, Rock (TV series)",2010,"Kim Tae-won (No Min-woo) is an outcast at school, frequently laughed at by his peers. His only escape is newly discovered rock music, introduced to him by his uncle. Tae-won steals his older brother's unused guitar and learns to play a Led Zeppelin song by himself. Later, in high school he becomes the ""Jimmy Page"" of his neighborhood, showing off his guitar skills in duels and competitions. Being hot-blooded and overly enthusiastic about music and love, he soon becomes known as a hooligan. After losing his first love and going through depression, Tae-won decides to become a rock star, and founds a band named The End, which is soon renamed Boohwal (lit. ""Resurrection"" or ""Rebirth""). After changing vocalists, Tae-won secures a deal with a record company and Boohwal releases its first successful single, Heeya, which becomes an instant hit. But Tae-won feels that his talents are being disregarded, because even though he wrote the song, fans only admire the band's singer. This eventually leads to arguments within the band and Boohwal breaks up. With a new line-up, however, they release a second album, that becomes a complete failure, tossing Tae-won to the edge of drug addiction, depression and serious mental illness. An aspiring singer, Kim Jae-ki pulls Tae-won back to reality, offering his vocals to form Boohwal anew. However, after the album recording, Jae-ki gets into a car accident and dies. Tae-won asks his brother, Jae-hee to take his place and they succeed. Years later Boohwal's first vocalist, the now-successful solo artist Lee Seung-chul asks Tae-won for a collaboration but they part ways once again after only one album. Finally in 2003, Tae-won's songwriting abilities are acknowledged at a popular televised music award ceremony. While celebrating the event at a diner, Tae-won meets an older rocker who calls himself ""a third-rate guitarist"" (played by the real Kim Tae-won in a cameo).
"
247,/wiki/White_Christmas_(TV_series),White Christmas (TV series),2011,"Deep in the mountains of Gangwon, the private, elite Soo-sin High School is attended by the top 1% of students in the country. Their stellar marks are the result of constant pressure and a strict punishment system, to the point where students avoid any activities outside of studying. It is in this atmosphere that seven students and a teacher remain at school for the winter break, joined by Kim Yo-han (Kim Sang-kyung), a psychiatrist who was forced to take shelter with them after he was injured in a car accident nearby. Stranded from heavy snow, they spend eight days together ― from Christmas Eve to New Year's Day.
"
248,/wiki/Drama_Stage,Drama Stage,2017–present,
249,/wiki/Dream_(TV_series),Dream (TV series),2009,"Nam Jae-il is a successful sports agent with some famous clients, but when one of his baseball stars gets involved in a drug case, he loses everything. But when the miserable Nam befriends former pickpocket and aspiring K-1 fighter Lee Jang-seok, and tomboyish taebo instructor Park So-yeon, he decides to regain his glory by making Lee a star.
"
250,/wiki/Dream_High,Dream High,2011,"Six students at Kirin High School share dreams of becoming K-pop idols, among others. During their school years, they learn how to develop their singing, songwriting and dancing skills while undergoing personal growth. They also start to develop feelings for one another. Each of them has their own strengths and weaknesses, but they strive to debut with the support and guidance of one another.
"
251,/wiki/Dream_High_2,Dream High 2,2012,"Like its predecessor <a href=""/wiki/Dream_High"" title=""Dream High"">Dream High</a>, it follows a group of students at the Kirin High School of Art stars who pursue their dream of becoming K-pop stars. However, it has a slight difference in terms of plot with new set of student casts.
"
252,/wiki/Dream_of_the_Emperor,Dream of the Emperor,2012–13,"Kim Chunchu is the grandson of King Jinji, but when his grandfather is overthrown, Chunchu is denied the chance to become a successor to the throne of Silla. He later meets Kim Yushin, and the two men begin a friendship. Chunchu later becomes King Muyeol, the 29th Korean monarch who leads the unification of three ancient kingdoms - Goguryeo, Baekje and Silla, while Kim Yushin becomes one of the greatest generals in Korean history.
"
253,/wiki/Drinking_Solo,Drinking Solo,2016,
254,/wiki/Dr._Champ,Dr. Champ,2010,
255,/wiki/Dr._Frost_(TV_series),Dr. Frost (TV series),2014–15,"Baek Nam-bong is a handsome, thirty-four year old professor of psychology by day and bartender by night, and he is nicknamed ""Dr. Frost"" because of his prematurely white hair. He sustained a frontal lobe injury in his childhood, which heightened his reasoning centers to genius-level, but left him unable to feel empathy, love, sorrow and other emotional responses.
"
256,/wiki/Dr._Ian,Dr. Ian,2015,"Lee So-dam (Sandara Park), is a quirky office girl who covers her face with her long hair whenever she feels uncomfortable. After being dumped by her boyfriend, she seeks the help of psychiatrist Dr. Mo Ian (Kim Young-kwang), who specializes in hypnosis treatments. He also bears scars of his own from a past relationship. During their sessions, they begin to heal the damage that love caused them together.
"
257,/wiki/Dr._Jin,Dr. Jin,2012,"Jin Hyuk (Song Seung-heon) is a gifted neurosurgeon who was born into a family of doctors. His success rate in surgery hovers at 100%, with his ability to quickly analyze any situation and extremely steady hands. Due to his personal pursuit of perfection, he has a cold attitude and lacks compassion. He is planning to give his girlfriend Yoo Mi-na (Park Min-young) a ring as a gift from their mother when after an argument, Mi-na gets into a car accident and goes into a coma.
"
258,/wiki/Dr._Kkang,Dr. Kkang,2006,"When a gangster (<a href=""/wiki/Kkangpae"" title=""Kkangpae"">kkangpae</a>) pretends to be a doctor in order to hide from the mob he left behind, he doesn't realize that this innocent deception will set him on the path towards love and redemption. Kang Dal-go, a mid-level member of a Busan gang, gets kicked out of the gang after being investigated by the police and is forced to flee for his life. Hiding out in Seoul, he gets hired as a doctor at a nearby hospital, where he quickly clashes with Kim Yoo-na, a dedicated and outspoken doctor. Gradually, however, the former gang member and the beautiful physician begin to fall in love in the mist of their clashes, to the dismay of prosecutor Seok Hee-jung, who is also pursuing Yoo-na. Dal-go may want to start a new life, but it's uncertain if his past will allow him to do so, and what Yoo-na's reaction will be once she discovers the truth.
"
259,/wiki/Dr._Romantic,Dr. Romantic,2016–17,"A story about Boo Yong-joo (Han Suk-kyu), a triple-board certified surgeon, who was once at the top of his field and used to work at Seoul's top medical center, Geosan University Hospital. After a traumatic incident, he disappears and changes his name to Kim Sa-bu. He begins working at a small hospital named Doldam, located in Gangwon Province. He guides Kang Dong-joo (Yoo Yeon-seok) and Yoon Seo-jeong (Seo Hyun-jin) to become great doctors by teaching them to fight against power and money for the sake of patients.
"
260,/wiki/Dr._Romantic_2,Dr. Romantic 2,2020,"Three years following the events of <a href=""/wiki/Dr._Romantic"" title=""Dr. Romantic"">Dr. Romantic</a>, Kim Sa-bu (Han Suk-kyu) comes to Geosan University Hospital to recruit a general surgeon. He finds Seo Woo-jin (Ahn Hyo-seop), a doctor with a troubled past who is ostracized by his fellow doctors, and offers him the job. In the meantime, Cha Eun-jae (Lee Sung-kyung) is suspended after making another mistake in the operation room and has no other choice but to follow the two doctors to Doldam Hospital.
"
261,/wiki/Duel_(South_Korean_TV_series),Duel (South Korean TV series),2017,"Story about Jang Deuk-cheon (Jung Jae-young), a hardened detective cop whose daughter is kidnapped. He starts to chase down the suspect using the one clue he has: Two men with the same face were at the crime scene.
"
262,/wiki/Dummy_Mommy,Dummy Mommy,2012,"Kim Young-joo is a genius with an IQ of 200 and the youngest editor of a fashion magazine. Constantly embarrassed and ashamed of her sister's developmental disability and suffocated by her affection, Young-joo leaves home and runs away to get married. But after she gives birth to her own daughter and becomes a mother herself, Young-joo begins to see her life and family differently.
"
263,/wiki/East_of_Eden_(TV_series),East of Eden (TV series),2008–09,"A period epic that spans the years 1960 to 2000s, East of Eden tells a saga of the bitter rivalry between two men who are eternally bound by fate. Historic events are referenced, such as the rapid industrialization of the 1970s and 1980s, Taebaek coal miners' strikes and student-led democracy movements.
"
264,/wiki/Eccentric!_Chef_Moon,Eccentric! Chef Moon,2020,"Moon Seung-mo (Eric Mun) is a popular star chef and the only son of the 80-year-old traditional Korean 'Pungcheonok’ pork soup restaurant. He is also responsible for creating the fine Korean cuisine dining boom through pop-up restaurants. He loves to cook with organic ingredients while the current culinary environment is filled with food made with MSG and problematic ingredients. After his parent died suddenly from a fire, he decides to move the quaint Seoha Village.
"
265,"/wiki/Eight_Days,_Assassination_Attempts_against_King_Jeongjo","Eight Days, Assassination Attempts against King Jeongjo",2007,"The screenplay is based on the novel Journey (Korean: 원행; RR: <i lang=""ko-Latn"" title=""Korean-language romanization"">wonhaeng</i>; lit. ""a round trip"") written in 2006 by Oh Se-yeong. The background of the action is the 1795 procession organized by King Jeongjo of Joseon for the 60th birthday of his mother, Lady Hyegyeong that also commemorated the 60th birthday of his deceased father, the Crown Prince Sado. During the eight days period when the Court left the palace for the ceremony, the show introduces several assassination attempts against the King. A first one comes from the Moon In-bang's group (a millenarist sect). But this plot is used by the Noron Faction to pursue its own agenda, attempting an armed suppression against the Sipa Faction and the King as well.
"
266,"/wiki/Eighteen,_Twenty-Nine","Eighteen, Twenty-Nine",2005,"Yoo Hye-chan (Park Sun-young) is a 29-year-old housewife who's unhappily married to a top acting star, Kang Sang-young (Ryu Soo-young). While on her way to court to file for divorce, a car accident drastically changes her life. Though she physically recovers, retrograde amnesia causes Hye-chan to mentally revert to that of an 18-year-old girl, and she finds everything around her unfamiliar.
"
267,/wiki/Emergency_Couple,Emergency Couple,2014,"While in their early twenties, a medical school student, Oh Chang-min, and a dietitian, Oh Jin-hee, fall in love and marry despite his family's strong opposition. Chang-min comes from a family of wealthy, successful doctors who believe Jin-hee is not good enough for him,  prompting them to cut him off financially after he marries her. In order to earn money right away, Chang-min gives up his dream of becoming a doctor, and instead becomes a pharmaceutical salesman. He is miserable at his job, while Jin-hee's inferiority complex deepens as her husband's family continues to look down on her. They begin to fight constantly and eventually get a divorce. Six years later, Chang-min has gone back to med school to pursue his dream, while Jin-hee has also put herself through med school. They end up as interns at the same hospital, where they will have to work in the emergency room together for three months.
"
268,/wiki/Emperor_of_the_Sea,Emperor of the Sea,2004–05,"Jang Bogo (Choi Soo-jong) rises from a lowly slave to the military commander of the sea during the Unified Silla Dynasty. Along the way, he battles pirates, and engages in a heated rivalry with Madam Jami (Chae Shi-ra), a Silla noble who squares off against Jang Bogo for trade rights in the South Sea. Yeom Jang (Song Il-gook), Jang Bogo's charismatic comrade, supports Jang in his ascension to become the ""Emperor of the Sea."" But Yeom Jang competes with Jang Bogo for the love of Lady Jung-hwa (Soo Ae).
"
